solver,seed,instance,V,E,best_lb,best_ub,gap,status
deep-v10,1,T1_800_1000_0.wclq,800,1000,7235,7741,0.069938,OK
deep-v10,1,T1_800_1000_6.wclq,800,1000,7313,7679,0.050048,OK
deep-v10,1,T1_800_2000_2.wclq,800,2000,4490,5088,0.133185,OK
deep-v10,1,T1_800_2000_8.wclq,800,2000,4349,4951,0.138423,OK
deep-v10,1,T1_800_5000_4.wclq,800,5000,1552,2413,0.554768,OK
deep-v10,2,T1_1000_10000_0.wclq,1000,10000,1134,2102,0.853616,OK
deep-v10,2,T1_1000_10000_6.wclq,1000,10000,1144,2131,0.862762,OK
deep-v10,2,T1_1000_1000_2.wclq,1000,1000,10318,10774,0.044195,OK
deep-v10,2,T1_1000_1000_8.wclq,1000,1000,10166,10606,0.043282,OK
deep-v10,2,T1_1000_15000_4.wclq,1000,15000,673,1518,1.255572,OK
deep-v10,2,T1_1000_20000_0.wclq,1000,20000,466,1207,1.590129,OK
deep-v10,2,T1_1000_20000_6.wclq,1000,20000,486,1213,1.495885,OK
deep-v10,2,T1_1000_5000_2.wclq,1000,5000,2642,3681,0.393263,OK
deep-v10,2,T1_1000_5000_8.wclq,1000,5000,2571,3603,0.4014,OK
deep-v10,2,T1_100_1000_4.wclq,100,1000,130,211,0.623077,OK
deep-v10,2,T1_100_100_0.wclq,100,100,1090,1136,0.042202,OK
deep-v10,2,T1_100_100_6.wclq,100,100,1049,1052,0.00286,OK
deep-v10,2,T1_100_2000_2.wclq,100,2000,47,105,1.234043,OK
deep-v10,2,T1_100_2000_8.wclq,100,2000,48,114,1.375,OK
deep-v10,2,T1_100_250_4.wclq,100,250,522,590,0.130268,OK
deep-v10,2,T1_100_500_0.wclq,100,500,281,381,0.355872,OK
deep-v10,2,T1_100_500_6.wclq,100,500,263,347,0.319392,OK
deep-v10,2,T1_100_750_2.wclq,100,750,192,242,0.260417,OK
deep-v10,2,T1_100_750_8.wclq,100,750,161,267,0.658385,OK
deep-v10,2,T1_150_1000_4.wclq,150,1000,300,433,0.443333,OK
deep-v10,2,T1_150_150_0.wclq,150,150,1602,1667,0.040574,OK
deep-v10,2,T1_150_150_6.wclq,150,150,1559,1615,0.03592,OK
deep-v10,2,T1_150_2000_2.wclq,150,2000,134,248,0.850746,OK
deep-v10,2,T1_150_2000_8.wclq,150,2000,128,258,1.015625,OK
deep-v10,2,T1_150_250_4.wclq,150,250,1132,1212,0.070671,OK
deep-v10,2,T1_150_3000_0.wclq,150,3000,82,180,1.195122,OK
deep-v10,2,T1_150_3000_6.wclq,150,3000,78,166,1.128205,OK
deep-v10,2,T1_150_500_2.wclq,150,500,624,757,0.213141,OK
deep-v10,2,T1_150_500_8.wclq,150,500,625,759,0.2144,OK
deep-v10,2,T1_150_750_4.wclq,150,750,404,549,0.358911,OK
deep-v10,2,T1_200_1000_0.wclq,200,1000,550,728,0.323636,OK
deep-v10,2,T1_200_1000_6.wclq,200,1000,530,716,0.350943,OK
deep-v10,2,T1_200_2000_2.wclq,200,2000,253,408,0.612648,OK
deep-v10,2,T1_200_2000_8.wclq,200,2000,232,416,0.793103,OK
deep-v10,2,T1_200_250_4.wclq,200,250,1834,1894,0.032715,OK
deep-v10,2,T1_200_3000_0.wclq,200,3000,147,296,1.013605,OK
deep-v10,2,T1_200_3000_6.wclq,200,3000,140,282,1.014286,OK
deep-v10,2,T1_200_500_2.wclq,200,500,1118,1280,0.144902,OK
deep-v10,2,T1_200_500_8.wclq,200,500,1077,1230,0.142061,OK
deep-v10,2,T1_200_750_4.wclq,200,750,716,897,0.252793,OK
deep-v10,2,T1_250_1000_0.wclq,250,1000,898,1109,0.234967,OK
deep-v10,2,T1_250_1000_6.wclq,250,1000,851,1057,0.242068,OK
deep-v10,2,T1_250_2000_2.wclq,250,2000,405,638,0.575309,OK
deep-v10,2,T1_250_2000_8.wclq,250,2000,375,617,0.645333,OK
deep-v10,2,T1_250_250_4.wclq,250,250,2641,2711,0.026505,OK
deep-v10,2,T1_250_3000_0.wclq,250,3000,235,428,0.821277,OK
deep-v10,2,T1_250_3000_6.wclq,250,3000,238,456,0.915966,OK
deep-v10,2,T1_250_5000_2.wclq,250,5000,126,287,1.277778,OK
deep-v10,2,T1_250_5000_8.wclq,250,5000,125,289,1.312,OK
deep-v10,2,T1_250_500_4.wclq,250,500,1767,1930,0.092247,OK
deep-v10,2,T1_250_750_0.wclq,250,750,1182,1384,0.170897,OK
deep-v10,2,T1_250_750_6.wclq,250,750,1145,1297,0.132751,OK
deep-v10,2,T1_300_1000_2.wclq,300,1000,1258,1504,0.195548,OK
deep-v10,2,T1_300_1000_8.wclq,300,1000,1226,1491,0.21615,OK
deep-v10,2,T1_300_2000_4.wclq,300,2000,565,888,0.571681,OK
deep-v10,2,T1_300_3000_0.wclq,300,3000,339,606,0.787611,OK
deep-v10,2,T1_300_3000_6.wclq,300,3000,341,625,0.832845,OK
deep-v10,2,T1_300_300_2.wclq,300,300,3170,3193,0.007256,OK
deep-v10,2,T1_300_300_8.wclq,300,300,3115,3167,0.016693,OK
deep-v10,2,T1_300_5000_4.wclq,300,5000,187,411,1.197861,OK
deep-v10,2,T1_300_500_0.wclq,300,500,2289,2480,0.083443,OK
deep-v10,2,T1_300_500_6.wclq,300,500,2226,2439,0.095687,OK
deep-v10,2,T1_300_750_2.wclq,300,750,1663,1892,0.137703,OK
deep-v10,2,T1_300_750_8.wclq,300,750,1633,1859,0.138396,OK
deep-v10,2,T1_500_10000_4.wclq,500,10000,247,588,1.380567,OK
deep-v10,2,T1_500_1000_0.wclq,500,1000,3278,3658,0.115924,OK
deep-v10,2,T1_500_1000_6.wclq,500,1000,3298,3637,0.10279,OK
deep-v10,2,T1_500_2000_2.wclq,500,2000,1802,2219,0.23141,OK
deep-v10,2,T1_500_2000_8.wclq,500,2000,1648,2128,0.291262,OK
