candidate,family,instance,solver,seed,dbs_best_lb,dbs_verified_ub,dbs_gap,dbs_solver_opt,controller_best_lb,controller_verified_ub,controller_gap,controller_solver_opt,delta_lb_controller_minus_dbs,delta_ub_controller_minus_dbs,delta_gap_controller_minus_dbs,delta_opt_controller_minus_dbs
refctl,UDG,UDG_100_200_1.wclq,fast-v19,3,210,210,0,1,210,210,0,1,0,0,0,0
refctl,UDG,UDG_500_150_3.wclq,deep-v6,1,162,162,0,1,162,162,0,1,0,0,0,0
refctl,UDG,UDG_500_150_3.wclq,deep-v6,2,162,162,0,1,162,162,0,1,0,0,0,0
refctl,UDG,UDG_500_150_3.wclq,deep-v6,3,162,162,0,1,162,162,0,1,0,0,0,0
refctl,UDG,UDG_500_150_3.wclq,fast-v19,1,162,162,0,1,162,162,0,1,0,0,0,0
refctl,UDG,UDG_500_150_3.wclq,fast-v19,2,162,162,0,1,162,162,0,1,0,0,0,0
refctl,UDG,UDG_500_150_3.wclq,fast-v19,3,162,162,0,1,162,162,0,1,0,0,0,0
refctl,UDG,UDG_50_150_0.wclq,deep-v6,1,462,462,0,1,462,462,0,1,0,0,0,0
refctl,UDG,UDG_50_150_0.wclq,deep-v6,2,462,462,0,1,462,462,0,1,0,0,0,0
refctl,UDG,UDG_50_150_0.wclq,deep-v6,3,462,462,0,1,462,462,0,1,0,0,0,0
refctl,UDG,UDG_50_150_0.wclq,fast-v19,1,462,462,0,1,462,462,0,1,0,0,0,0
refctl,UDG,UDG_50_150_0.wclq,fast-v19,2,462,462,0,1,462,462,0,1,0,0,0,0
refctl,UDG,UDG_50_150_0.wclq,fast-v19,3,462,462,0,1,462,462,0,1,0,0,0,0
refctl,UDG,UDG_800_200_8.wclq,deep-v6,1,39,39,0,1,39,39,0,1,0,0,0,0
refctl,UDG,UDG_800_200_8.wclq,deep-v6,2,39,39,0,1,39,39,0,1,0,0,0,0
refctl,UDG,UDG_800_200_8.wclq,deep-v6,3,39,39,0,1,39,39,0,1,0,0,0,0
refctl,UDG,UDG_800_200_8.wclq,fast-v19,1,39,39,0,1,39,39,0,1,0,0,0,0
refctl,UDG,UDG_800_200_8.wclq,fast-v19,2,39,39,0,1,39,39,0,1,0,0,0,0
refctl,UDG,UDG_800_200_8.wclq,fast-v19,3,39,39,0,1,39,39,0,1,0,0,0,0
