instance,V,E,first_lb,best_lb,first_ub,best_ub,gap,status,n_rounds,solver,dataset,seed,timestamp,lb_gain
Amazon0302.clq,0,0,2266893,2266893,2464962,2378169,0.04908745141477785,TIMEOUT,4,deep-v6,SNAP,3,20260517231551,0
Cit-HepTh.clq,27769,352285,213028,213028,215634,214476,0.00679722853333834,OK,8,deep-v6,SNAP,3,20260517231551,0
Slashdot0902.clq,82168,504230,1142491,1142491,1143048,1142998,0.0004437671719076999,OK,84,deep-v6,SNAP,3,20260517231551,0
Wiki-Vote.clq,7115,100762,86402,86402,86402,86402,0.0,OPT,1,deep-v6,SNAP,3,20260517231551,0
p2p-Gnutella25.clq,22687,54705,377449,377449,377449,377449,0.0,OPT,1,deep-v6,SNAP,3,20260517231551,0
Amazon0302.clq,0,0,2266893,2266893,2464962,2378033,0.04902745740535614,TIMEOUT,4,deep-v6,SNAP,4,20260517232034,0
Cit-HepTh.clq,27769,352285,213028,213028,215634,214510,0.006956831965750981,OK,8,deep-v6,SNAP,4,20260517232034,0
Slashdot0902.clq,82168,504230,1142491,1142491,1143048,1142997,0.00044289189148973603,OK,87,deep-v6,SNAP,4,20260517232034,0
Wiki-Vote.clq,7115,100762,86402,86402,86402,86402,0.0,OPT,1,deep-v6,SNAP,4,20260517232034,0
p2p-Gnutella25.clq,22687,54705,377449,377449,377449,377449,0.0,OPT,1,deep-v6,SNAP,4,20260517232034,0
Amazon0302.clq,0,0,2266893,2266893,2464962,2379186,0.04953608308817399,TIMEOUT,4,deep-v6,SNAP,5,20260517232145,0
Cit-HepTh.clq,27769,352285,213028,213028,215634,214423,0.006548434947518636,OK,8,deep-v6,SNAP,5,20260517232145,0
Slashdot0902.clq,82168,504230,1142491,1142491,1143048,1143006,0.00045076941525141117,OK,85,deep-v6,SNAP,5,20260517232145,0
Wiki-Vote.clq,7115,100762,86402,86402,86402,86402,0.0,OPT,1,deep-v6,SNAP,5,20260517232145,0
p2p-Gnutella25.clq,22687,54705,377449,377449,377449,377449,0.0,OPT,1,deep-v6,SNAP,5,20260517232145,0
T1_1000_1000_2.wclq,1000,1000,10318,10318,11342,10771,0.04390385733669316,OK,12,deep-v6,T1,1,20260517232256,0
T1_100_100_2.wclq,100,100,1027,1030,1060,1039,0.008737864077669903,OK,48,deep-v6,T1,1,20260517232256,3
T1_200_2000_8.wclq,0,0,198,236,461,416,0.7627118644067796,TIMEOUT,18,deep-v6,T1,1,20260517232256,38
T1_200_250_7.wclq,200,250,1848,1875,2016,1937,0.03306666666666667,OK,45,deep-v6,T1,1,20260517232256,27
T1_50_1000_0.wclq,50,1000,40,40,40,40,0.0,OPT,1,deep-v6,T1,1,20260517232256,0
T1_1000_1000_2.wclq,1000,1000,10318,10318,11342,10771,0.04390385733669316,OK,11,deep-v6,T1,2,20260517232629,0
T1_100_100_2.wclq,100,100,1027,1033,1060,1039,0.005808325266214908,OK,48,deep-v6,T1,2,20260517232629,6
T1_200_2000_8.wclq,200,2000,198,237,461,416,0.7552742616033755,OK,35,deep-v6,T1,2,20260517232629,39
T1_200_250_7.wclq,200,250,1848,1875,2016,1937,0.03306666666666667,OK,46,deep-v6,T1,2,20260517232629,27
T1_50_1000_0.wclq,50,1000,40,40,40,40,0.0,OPT,1,deep-v6,T1,2,20260517232629,0
T1_1000_1000_2.wclq,1000,1000,10318,10318,11342,10771,0.04390385733669316,OK,11,deep-v6,T1,3,20260517232629,0
T1_100_100_2.wclq,100,100,1027,1027,1060,1039,0.011684518013631937,OK,47,deep-v6,T1,3,20260517232629,0
T1_200_2000_8.wclq,0,0,198,238,461,416,0.7478991596638656,TIMEOUT,24,deep-v6,T1,3,20260517232629,40
T1_200_250_7.wclq,200,250,1848,1880,2016,1937,0.03031914893617021,OK,45,deep-v6,T1,3,20260517232629,32
T1_50_1000_0.wclq,50,1000,40,40,40,40,0.0,OPT,1,deep-v6,T1,3,20260517232629,0
T1_1000_1000_2.wclq,1000,1000,10318,10318,11342,10771,0.04390385733669316,OK,11,deep-v6,T1,4,20260517233002,0
T1_100_100_2.wclq,100,100,1027,1028,1060,1039,0.010700389105058366,OK,47,deep-v6,T1,4,20260517233002,1
T1_200_2000_8.wclq,0,0,198,241,461,416,0.7261410788381742,TIMEOUT,29,deep-v6,T1,4,20260517233002,43
T1_200_250_7.wclq,200,250,1848,1873,2016,1937,0.03416978109983983,OK,45,deep-v6,T1,4,20260517233002,25
T1_50_1000_0.wclq,50,1000,40,40,40,40,0.0,OPT,1,deep-v6,T1,4,20260517233002,0
T1_1000_1000_2.wclq,1000,1000,10318,10318,11342,10769,0.04371002132196162,OK,12,deep-v6,T1,5,20260517233558,0
T1_100_100_2.wclq,100,100,1027,1033,1060,1039,0.005808325266214908,OK,39,deep-v6,T1,5,20260517233558,6
T1_200_2000_8.wclq,0,0,198,238,461,416,0.7478991596638656,TIMEOUT,27,deep-v6,T1,5,20260517233558,40
T1_200_250_7.wclq,200,250,1848,1876,2016,1937,0.03251599147121535,OK,46,deep-v6,T1,5,20260517233558,28
T1_50_1000_0.wclq,50,1000,40,40,40,40,0.0,OPT,1,deep-v6,T1,5,20260517233558,0
T2_1000_20000_9.wclq,1000,20000,5343,6154,7683,7177,0.16623334416639585,OK,14,deep-v6,T2,1,20260517233558,811
T2_150_2000_1.wclq,0,0,503,531,598,598,0.12617702448210924,TIMEOUT,17,deep-v6,T2,1,20260517233558,28
T2_250_2000_3.wclq,0,0,1003,1063,1224,1183,0.11288805268109126,TIMEOUT,35,deep-v6,T2,1,20260517233558,60
T2_250_250_8.wclq,250,250,306,306,306,306,0.0,OPT,1,deep-v6,T2,1,20260517233558,0
T2_50_1000_6.wclq,50,1000,11,11,11,11,0.0,OPT,1,deep-v6,T2,1,20260517233558,0
T2_1000_20000_9.wclq,1000,20000,5343,6167,7683,7177,0.16377493108480623,OK,13,deep-v6,T2,2,20260517233709,824
T2_150_2000_1.wclq,0,0,503,526,598,598,0.13688212927756654,TIMEOUT,11,deep-v6,T2,2,20260517233709,23
T2_250_2000_3.wclq,250,2000,1003,1062,1224,1183,0.11393596986817325,OK,39,deep-v6,T2,2,20260517233709,59
T2_250_250_8.wclq,250,250,306,306,306,306,0.0,OPT,1,deep-v6,T2,2,20260517233709,0
T2_50_1000_6.wclq,50,1000,11,11,11,11,0.0,OPT,1,deep-v6,T2,2,20260517233709,0
T2_1000_20000_9.wclq,1000,20000,5343,6115,7683,7177,0.17367130008176615,OK,13,deep-v6,T2,3,20260517233709,772
T2_150_2000_1.wclq,0,0,503,528,598,598,0.13257575757575757,TIMEOUT,19,deep-v6,T2,3,20260517233709,25
T2_250_2000_3.wclq,0,0,1003,1060,1224,1183,0.1160377358490566,TIMEOUT,28,deep-v6,T2,3,20260517233709,57
T2_250_250_8.wclq,250,250,306,306,306,306,0.0,OPT,1,deep-v6,T2,3,20260517233709,0
T2_50_1000_6.wclq,50,1000,11,11,11,11,0.0,OPT,1,deep-v6,T2,3,20260517233709,0
T2_1000_20000_9.wclq,1000,20000,5343,6158,7683,7177,0.16547580383241312,OK,12,deep-v6,T2,4,20260517233820,815
T2_150_2000_1.wclq,0,0,503,531,598,598,0.12617702448210924,TIMEOUT,11,deep-v6,T2,4,20260517233820,28
T2_250_2000_3.wclq,0,0,1003,1064,1224,1183,0.1118421052631579,TIMEOUT,11,deep-v6,T2,4,20260517233820,61
T2_250_250_8.wclq,250,250,306,306,306,306,0.0,OPT,1,deep-v6,T2,4,20260517233820,0
T2_50_1000_6.wclq,50,1000,11,11,11,11,0.0,OPT,1,deep-v6,T2,4,20260517233820,0
T2_1000_20000_9.wclq,1000,20000,5343,6145,7683,7177,0.1679414157851912,OK,13,deep-v6,T2,5,20260517233820,802
T2_150_2000_1.wclq,0,0,503,527,598,598,0.1347248576850095,TIMEOUT,5,deep-v6,T2,5,20260517233820,24
T2_250_2000_3.wclq,0,0,1003,1060,1224,1183,0.1160377358490566,TIMEOUT,34,deep-v6,T2,5,20260517233820,57
T2_250_250_8.wclq,250,250,306,306,306,306,0.0,OPT,1,deep-v6,T2,5,20260517233820,0
T2_50_1000_6.wclq,50,1000,11,11,11,11,0.0,OPT,1,deep-v6,T2,5,20260517233820,0
UDG_1000_200_8.wclq,1000,52120,38,39,41,41,0.05128205128205128,OK,25,deep-v6,UDG,1,20260517233820,1
