instance,V,E,first_lb,best_lb,first_ub,best_ub,gap,status,n_rounds,solver,dataset,seed,timestamp,lb_gain
T2_1000_20000_9.wclq,1000,20000,5343,6091,7683,7177,0.1782958463306518,OK,17,fast-v19,T2,3,20260517233709,748
T2_150_2000_1.wclq,0,0,503,531,598,598,0.12617702448210924,TIMEOUT,14,fast-v19,T2,3,20260517233709,28
T2_250_2000_3.wclq,0,0,1003,1065,1224,1183,0.1107981220657277,TIMEOUT,26,fast-v19,T2,3,20260517233709,62
T2_250_250_8.wclq,250,250,306,306,306,306,0.0,OPT,1,fast-v19,T2,3,20260517233709,0
T2_50_1000_6.wclq,50,1000,11,11,11,11,0.0,OPT,1,fast-v19,T2,3,20260517233709,0
T2_1000_20000_9.wclq,1000,20000,5343,6136,7683,7177,0.16965449804432856,OK,14,fast-v19,T2,4,20260517233709,793
T2_150_2000_1.wclq,0,0,503,518,598,598,0.15444015444015444,TIMEOUT,15,fast-v19,T2,4,20260517233709,15
T2_250_2000_3.wclq,0,0,1003,1065,1224,1183,0.1107981220657277,TIMEOUT,40,fast-v19,T2,4,20260517233709,62
T2_250_250_8.wclq,250,250,306,306,306,306,0.0,OPT,1,fast-v19,T2,4,20260517233709,0
T2_50_1000_6.wclq,50,1000,11,11,11,11,0.0,OPT,1,fast-v19,T2,4,20260517233709,0
T2_1000_20000_9.wclq,1000,20000,5343,6094,7683,7177,0.17771578601903512,OK,17,fast-v19,T2,5,20260517233820,751
T2_150_2000_1.wclq,0,0,503,523,598,598,0.14340344168260039,TIMEOUT,19,fast-v19,T2,5,20260517233820,20
T2_250_2000_3.wclq,0,0,1003,1065,1224,1183,0.1107981220657277,TIMEOUT,25,fast-v19,T2,5,20260517233820,62
T2_250_250_8.wclq,250,250,306,306,306,306,0.0,OPT,1,fast-v19,T2,5,20260517233820,0
T2_50_1000_6.wclq,50,1000,11,11,11,11,0.0,OPT,1,fast-v19,T2,5,20260517233820,0
UDG_1000_200_8.wclq,1000,52120,38,38,41,41,0.07894736842105263,OK,25,fast-v19,UDG,1,20260517233820,0
UDG_100_200_1.wclq,100,598,210,210,210,210,0.0,OPT,1,fast-v19,UDG,1,20260517233820,0
UDG_500_150_3.wclq,500,7564,162,162,162,162,0.0,OPT,1,fast-v19,UDG,1,20260517233820,0
UDG_50_150_0.wclq,50,89,462,462,462,462,0.0,OPT,1,fast-v19,UDG,1,20260517233820,0
UDG_800_200_8.wclq,800,33642,39,39,39,39,0.0,OPT,1,fast-v19,UDG,1,20260517233820,0
UDG_1000_200_8.wclq,1000,52120,38,39,41,41,0.05128205128205128,OK,26,fast-v19,UDG,2,20260517233933,1
UDG_100_200_1.wclq,100,598,210,210,210,210,0.0,OPT,1,fast-v19,UDG,2,20260517233933,0
UDG_500_150_3.wclq,500,7564,162,162,162,162,0.0,OPT,1,fast-v19,UDG,2,20260517233933,0
UDG_50_150_0.wclq,50,89,462,462,462,462,0.0,OPT,1,fast-v19,UDG,2,20260517233933,0
UDG_800_200_8.wclq,800,33642,39,39,39,39,0.0,OPT,1,fast-v19,UDG,2,20260517233933,0
UDG_1000_200_8.wclq,1000,52120,38,38,41,41,0.07894736842105263,OK,26,fast-v19,UDG,3,20260517234157,0
UDG_100_200_1.wclq,100,598,210,210,210,210,0.0,OPT,1,fast-v19,UDG,3,20260517234157,0
UDG_500_150_3.wclq,500,7564,162,162,162,162,0.0,OPT,1,fast-v19,UDG,3,20260517234157,0
UDG_50_150_0.wclq,50,89,462,462,462,462,0.0,OPT,1,fast-v19,UDG,3,20260517234157,0
UDG_800_200_8.wclq,800,33642,39,39,39,39,0.0,OPT,1,fast-v19,UDG,3,20260517234157,0
UDG_1000_200_8.wclq,1000,52120,38,38,41,41,0.07894736842105263,OK,24,fast-v19,UDG,4,20260517234308,0
UDG_100_200_1.wclq,100,598,210,210,210,210,0.0,OPT,1,fast-v19,UDG,4,20260517234308,0
UDG_500_150_3.wclq,500,7564,162,162,162,162,0.0,OPT,1,fast-v19,UDG,4,20260517234308,0
UDG_50_150_0.wclq,50,89,462,462,462,462,0.0,OPT,1,fast-v19,UDG,4,20260517234308,0
UDG_800_200_8.wclq,800,33642,39,39,39,39,0.0,OPT,1,fast-v19,UDG,4,20260517234308,0
UDG_1000_200_8.wclq,1000,52120,38,38,41,41,0.07894736842105263,OK,26,fast-v19,UDG,5,20260517234640,0
UDG_100_200_1.wclq,100,598,210,210,210,210,0.0,OPT,1,fast-v19,UDG,5,20260517234640,0
UDG_500_150_3.wclq,500,7564,162,162,162,162,0.0,OPT,1,fast-v19,UDG,5,20260517234640,0
UDG_50_150_0.wclq,50,89,462,462,462,462,0.0,OPT,1,fast-v19,UDG,5,20260517234640,0
UDG_800_200_8.wclq,800,33642,39,39,39,39,0.0,OPT,1,fast-v19,UDG,5,20260517234640,0
C4000.5.clq,4000,4000268,3,3,9,9,2.0,OK,5,fast-v19,DIMACS,1,20260517223507,0
DSJC500_5.clq,0,0,11,12,16,16,0.3333333333333333,TIMEOUT,24,fast-v19,DIMACS,1,20260517223507,1
gen200_p0.9_55.clq,200,17910,5,5,6,6,0.2,OK,32,fast-v19,DIMACS,1,20260517223507,0
hamming6-2.clq,64,1824,5,5,5,5,0.0,OPT,1,fast-v19,DIMACS,1,20260517223507,0
p_hat300-2.clq,0,0,29,29,31,31,0.06896551724137931,TIMEOUT,33,fast-v19,DIMACS,1,20260517223507,0
C4000.5.clq,4000,4000268,3,3,9,9,2.0,OK,5,fast-v19,DIMACS,2,20260517223507,0
DSJC500_5.clq,500,62624,11,12,16,16,0.3333333333333333,OK,24,fast-v19,DIMACS,2,20260517223507,1
gen200_p0.9_55.clq,200,17910,5,5,6,6,0.2,OK,33,fast-v19,DIMACS,2,20260517223507,0
hamming6-2.clq,64,1824,5,5,5,5,0.0,OPT,1,fast-v19,DIMACS,2,20260517223507,0
p_hat300-2.clq,300,21928,29,29,31,31,0.06896551724137931,OK,33,fast-v19,DIMACS,2,20260517223507,0
C4000.5.clq,4000,4000268,3,3,9,9,2.0,OK,5,fast-v19,DIMACS,3,20260517223726,0
DSJC500_5.clq,500,62624,11,12,16,16,0.3333333333333333,OK,25,fast-v19,DIMACS,3,20260517223726,1
gen200_p0.9_55.clq,200,17910,5,5,6,6,0.2,OK,33,fast-v19,DIMACS,3,20260517223726,0
hamming6-2.clq,64,1824,5,5,5,5,0.0,OPT,1,fast-v19,DIMACS,3,20260517223726,0
p_hat300-2.clq,300,21928,29,29,31,31,0.06896551724137931,OK,32,fast-v19,DIMACS,3,20260517223726,0
C4000.5.clq,4000,4000268,3,3,9,9,2.0,OK,5,fast-v19,DIMACS,4,20260517223726,0
DSJC500_5.clq,500,62624,11,12,16,16,0.3333333333333333,OK,24,fast-v19,DIMACS,4,20260517223726,1
gen200_p0.9_55.clq,200,17910,5,5,6,6,0.2,OK,32,fast-v19,DIMACS,4,20260517223726,0
hamming6-2.clq,64,1824,5,5,5,5,0.0,OPT,1,fast-v19,DIMACS,4,20260517223726,0
p_hat300-2.clq,300,21928,29,29,31,31,0.06896551724137931,OK,32,fast-v19,DIMACS,4,20260517223726,0
C4000.5.clq,4000,4000268,3,3,9,9,2.0,OK,5,fast-v19,DIMACS,5,20260517223945,0
DSJC500_5.clq,500,62624,11,12,16,16,0.3333333333333333,OK,22,fast-v19,DIMACS,5,20260517223945,1
gen200_p0.9_55.clq,200,17910,5,5,6,6,0.2,OK,33,fast-v19,DIMACS,5,20260517223945,0
hamming6-2.clq,64,1824,5,5,5,5,0.0,OPT,1,fast-v19,DIMACS,5,20260517223945,0
p_hat300-2.clq,300,21928,29,29,31,31,0.06896551724137931,OK,32,fast-v19,DIMACS,5,20260517223945,0
